corpus,qid,label,count,lat,lon
cs,Q3852,Worms,12,49.631944444444,8.3652777777778
cs,Q87,Alexandria,12,31.1975,29.8925
cs,Q186901,Drina,12,44.891391666667,19.355936111111
cs,Q986557,Carrión de los Condes,12,42.338888888889,-4.6019444444444
cs,Q1645727,Cardeña,12,38.2703085,-4.3227324
cs,Q322361,Ribe,12,55.327222,8.763056
cs,Q167394,Kragujevac,12,44.014166666667,20.939444444444
cs,Q1747069,Staré Hamry,12,49.472598033492,18.445835280966
cs,Q3500288,Poruba,12,49.825,18.17111111
cs,Q686632,Třebovice,12,49.8346,18.1947
cs,Q1233530,Dobroslavice,12,49.880324940161,18.140970315904
cs,Q967835,Krásná,12,49.58118604109,18.476915318246
cs,Q11764361,Lutyně,12,49.8714,18.4264
cs,Q4191,Lucerne,12,47.0523,8.3059
cs,Q193724,Slavkov u Brna,11,49.153275386094,16.876504369244
cs,Q78,Basel,11,47.560555555556,7.5905555555556
cs,Q34925,Capitoline Hill,11,41.893333333333,12.483055555556
cs,Q12898802,Arcadia,11,37.6,22.2
cs,Q528042,Dalmatia,11,43.812761,16.218756
cs,Q36036,Lviv,11,49.8425,24.032222222222224
cs,Q15680014,Kumburk,11,50.4932,15.4455
cs,Q75459,Delphi,11,38.4823,22.5013
cs,Q722732,Litomyšl,11,49.872064383156,16.310576465877
cs,Q10856807,Janovice,11,49.5603,17.9506
cs,Q640046,Psáry,11,49.936291161626,14.512823038946
cs,Q942842,Smíchov,11,50.075278,14.405556
cs,Q898468,Brandýs nad Labem-Stará Boleslav,11,50.187160680032,14.663332953497
cs,Q582495,Smrk,11,49.50833333,18.37222222
cs,Q13670,Syracuse,11,37.069166666667,15.2875
cs,Q115457,Arno,11,43.72555555555556,11.671666666666667
cs,Q660921,Deutsch-Wagram,11,48.299444444444,16.564444444444
cs,Q131330,Schönbrunn Palace,11,48.18479,16.31227
cs,Q131638,Shkodër,11,42.066666666667,19.5
cs,Q683573,Pražmo,11,49.608745550841,18.486201871751
cs,Q1502301,Gruň,11,49.48888889,18.48416667
cs,Q2612466,Ptení,11,49.5109895,16.961622
cs,Q33959,Nice,10,43.701944444444,7.2683333333333
cs,Q1734032,Karlštejn,10,49.937429157361,14.186111701176
cs,Q9337,Flemish Region,10,51,4.5
cs,Q1410,Gibraltar,10,36.14,-5.35
cs,Q1592121,Hazmburk,10,50.4341667,14.0141667
cs,Q1887287,Malešov,10,49.911073893165,15.224396689347
cs,Q3876767,Bethel,10,31.922777777778,35.241388888889
cs,Q727,Amsterdam,10,52.37277777777778,4.893611111111111
cs,Q986072,Rokycany,10,49.742793661264,13.594638741285
cs,Q25409,Košice,10,48.716666666667,21.25
cs,Q181276,Szolnok,10,47.174722222222,20.176388888889
cs,Q2092696,Rabí,10,49.280837729607,13.617637249415
cs,Q192483,Lemnos,10,39.916666666667,25.25
cs,Q5715,Memphis,10,29.85412,31.25934
cs,Q37985,Carinthia,10,46.7525,13.8617
cs,Q104520,Pomerania,10,54.29443,18.15312
cs,Q157200,Zittau,10,50.896111111111,14.807222222222
cs,Q1017889,Volyně,10,49.16587049083,13.88625653958
cs,Q3500538,Stromovka,10,50.1064,14.4194
cs,Q24879,Bremen,10,53.075833333333335,8.807222222222222
cs,Q372490,Bojana,10,41.875,19.375
cs,Q61,"Washington, D.C.",10,38.895,-77.036666666667
cs,Q131210,Dniester,10,46.3041,30.2736
cs,Q41876,Reims,10,49.265277777778,4.0286111111111
cs,Q1205,Thuringia,10,51,11
cs,Q189901,Argos,10,37.63333333333333,22.729166666666668
cs,Q151545,Wartburg,10,50.96611111111111,10.30638888888889
cs,Q3519,Bari,10,41.125277777778,16.866666666667
cs,Q3437,Perugia,10,43.1121,12.3888
cs,Q172556,Taurus mountains,10,36.9964,33.0019
cs,Q13377,Prato,10,43.880813888889,11.096561111111
cs,Q3894036,Oreanda,10,44.458611111111,34.136666666667
cs,Q1297,Chicago,10,41.85003,-87.65005
cs,Q1367726,Hrabyně,10,49.882476234427,18.054876472703
cs,Q3506368,Lazy,10,49.83888889,18.41833333
cs,Q1233363,Dobratice,10,49.660373489193,18.492298368332
